0 2
0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.00000000000000e-02 8.19597883370000e-02 -7.71759529070000e-03
2.00000000000000e-02 1.63896804520000e-01 -1.49168543420000e-02
3.00000000000000e-02 2.45782927620000e-01 -2.10868804960000e-02
4.00000000000000e-02 3.27579453850000e-01 -2.57315467580000e-02
5.00000000000000e-02 4.09232090120000e-01 -2.83766085470000e-02
6.00000000000000e-02 4.90666283840000e-01 -2.85764946060000e-02
7.00000000000000e-02 5.71782992130000e-01 -2.59206764610000e-02
8.00000000000000e-02 6.52454985640000e-01 -2.00395232330000e-02
9.00000000000000e-02 7.32523773120000e-01 -1.06095565030000e-02
1.00000000000000e-01 8.11797221840000e-01 2.64197101520000e-03
1.10000000000000e-01 8.90047936880000e-01 1.99332388620000e-02
1.20000000000000e-01 9.67012448830000e-01 4.14248188230000e-02
1.30000000000000e-01 1.04239124540000e+00 6.72174739210000e-02
1.40000000000000e-01 1.11584966740000e+00 9.73508265570000e-02
1.50000000000000e-01 1.18701967330000e+00 1.31802911270000e-01
1.60000000000000e-01 1.25550246280000e+00 1.70490616440000e-01
1.70000000000000e-01 1.32087193230000e+00 2.13271003280000e-01
1.80000000000000e-01 1.38267892040000e+00 2.59943479100000e-01
1.90000000000000e-01 1.44045618950000e+00 3.10252788620000e-01
2.00000000000000e-01 1.49372406480000e+00 3.63892770250000e-01
2.10000000000000e-01 1.54199666820000e+00 4.20510827800000e-01
2.20000000000000e-01 1.58478862270000e+00 4.79713030130000e-01
2.30000000000000e-01 1.62162215010000e+00 5.41069773600000e-01
2.40000000000000e-01 1.65203442020000e+00 6.04121899590000e-01
2.50000000000000e-01 1.67558509730000e+00 6.68387220190000e-01
2.60000000000000e-01 1.69186381790000e+00 7.33367242800000e-01
2.70000000000000e-01 1.70049769210000e+00 7.98554160690000e-01
2.80000000000000e-01 1.70115846000000e+00 8.63437811250000e-01
2.90000000000000e-01 1.69356935770000e+00 9.27512640080000e-01
3.00000000000000e-01 1.67751149160000e+00 9.90284502280000e-01
3.10000000000000e-01 1.65282961670000e+00 1.05127720860000e+00
3.20000000000000e-01 1.61943717150000e+00 1.11003867650000e+00
3.30000000000000e-01 1.57732065190000e+00 1.16614678110000e+00
3.40000000000000e-01 1.52654289140000e+00 1.21921447360000e+00
3.50000000000000e-01 1.46724552670000e+00 1.26889444250000e+00
3.60000000000000e-01 1.39965039490000e+00 1.31488307110000e+00
3.70000000000000e-01 1.32405988690000e+00 1.35692370570000e+00
3.80000000000000e-01 1.24085610290000e+00 1.39480901820000e+00
3.90000000000000e-01 1.15049905930000e+00 1.42838280050000e+00
4.00000000000000e-01 1.05352368730000e+00 1.45754082190000e+00
4.10000000000000e-01 9.50535755140000e-01 1.48223084530000e+00
4.20000000000000e-01 8.42206793090000e-01 1.50245192300000e+00
4.30000000000000e-01 7.29268021000000e-01 1.51825288740000e+00
4.40000000000000e-01 6.12503368410000e-01 1.52973010220000e+00
4.50000000000000e-01 4.92741676140000e-01 1.53702451810000e+00
4.60000000000000e-01 3.70848182780000e-01 1.54031809550000e+00
4.70000000000000e-01 2.47715462940000e-01 1.53982966910000e+00
4.80000000000000e-01 1.24253867070000e-01 1.53581034510000e+00
4.90000000000000e-01 1.38131944630000e-03 1.52853840000000e+00
5.00000000000000e-01 -1.19986572640000e-01 1.51831395670000e+00
5.10000000000000e-01 -2.38946394700000e-01 1.50545355890000e+00
5.20000000000000e-01 -3.54617754360000e-01 1.49028425870000e+00
5.30000000000000e-01 -4.66153032100000e-01 1.47313788800000e+00
5.40000000000000e-01 -5.72745446110000e-01 1.45434605230000e+00
5.50000000000000e-01 -6.73641090270000e-01 1.43423337660000e+00
5.60000000000000e-01 -7.68143605710000e-01 1.41311388780000e+00
5.70000000000000e-01 -8.55625329780000e-01 1.39128456920000e+00
5.80000000000000e-01 -9.35530623510000e-01 1.36902251080000e+00
5.90000000000000e-01 -1.00738546050000e+00 1.34657911460000e+00
6.00000000000000e-01 -1.07079742550000e+00 1.32417907630000e+00
6.10000000000000e-01 -1.12546494110000e+00 1.30201472930000e+00
6.20000000000000e-01 -1.17117482620000e+00 1.28024645150000e+00
6.30000000000000e-01 -1.20780601920000e+00 1.25899992520000e+00
6.40000000000000e-01 -1.23533029050000e+00 1.23836498270000e+00
6.50000000000000e-01 -1.25380894880000e+00 1.21839673070000e+00
6.60000000000000e-01 -1.26339217040000e+00 1.19911524640000e+00
6.70000000000000e-01 -1.26431614620000e+00 1.18050647190000e+00
6.80000000000000e-01 -1.25689722380000e+00 1.16252489970000e+00
6.90000000000000e-01 -1.24152701120000e+00 1.14509572280000e+00
7.00000000000000e-01 -1.21866673070000e+00 1.12811734370000e+00
7.10000000000000e-01 -1.18883973540000e+00 1.11146498770000e+00
7.20000000000000e-01 -1.15262354860000e+00 1.09499464880000e+00
7.30000000000000e-01 -1.11064178360000e+00 1.07854703040000e+00
7.40000000000000e-01 -1.06355543090000e+00 1.06195185420000e+00
7.50000000000000e-01 -1.01205420280000e+00 1.04503218530000e+00
7.60000000000000e-01 -9.56846404070000e-01 1.02760932450000e+00
7.70000000000000e-01 -8.98650366930000e-01 1.00950712120000e+00
7.80000000000000e-01 -8.38185271150000e-01 9.90556410220000e-01
7.90000000000000e-01 -7.76162217620000e-01 9.70599285040000e-01
8.00000000000000e-01 -7.13275685100000e-01 9.49493113580000e-01
8.10000000000000e-01 -6.50195443750000e-01 9.27114244620000e-01
8.20000000000000e-01 -5.87559025710000e-01 9.03361345630000e-01
8.30000000000000e-01 -5.25964840360000e-01 8.78158322420000e-01
8.40000000000000e-01 -4.65966007740000e-01 8.51456780870000e-01
8.50000000000000e-01 -4.08064968430000e-01 8.23238001060000e-01
8.60000000000000e-01 -3.52708912790000e-01 7.93514405540000e-01
8.70000000000000e-01 -3.00286055890000e-01 7.62330513970000e-01
8.80000000000000e-01 -2.51122768890000e-01 7.29763387880000e-01
8.90000000000000e-01 -2.05481560760000e-01 6.95922580170000e-01
9.00000000000000e-01 -1.63559888880000e-01 6.60949614550000e-01
9.10000000000000e-01 -1.25489761650000e-01 6.25017030370000e-01
9.20000000000000e-01 -9.13380813560000e-02 5.88327037900000e-01
9.30000000000000e-01 -6.11076355350000e-02 5.51109886690000e-01
9.40000000000000e-01 -3.47387664200000e-02 5.13621805190000e-01
9.50000000000000e-01 -1.21131825790000e-02 4.76141112780000e-01
9.60000000000000e-01 6.93664252810000e-03 4.38950650950000e-01
9.70000000000000e-01 2.26127248920000e-02 4.02319696230000e-01
9.80000000000000e-01 3.51451445230000e-02 3.66501708310000e-01
9.90000000000000e-01 4.47862937940000e-02 3.31731810930000e-01
1.00000000000000e+00 5.18049381210000e-02 2.98224725830000e-01
1.01000000000000e+00 5.64804066140000e-02 2.66172823230000e-01
1.02000000000000e+00 5.90977996890000e-02 2.35745569210000e-01
1.03000000000000e+00 5.99412717700000e-02 2.07085046760000e-01
1.04000000000000e+00 5.92888809550000e-02 1.80305986720000e-01
1.05000000000000e+00 5.74090996580000e-02 1.55496033660000e-01
1.06000000000000e+00 5.45566788650000e-02 1.32714745350000e-01
1.07000000000000e+00 5.09707385490000e-02 1.11994673160000e-01
1.08000000000000e+00 4.68694486380000e-02 9.33393040430000e-02
1.09000000000000e+00 4.24465134230000e-02 7.67237148570000e-02
1.10000000000000e+00 3.78736103090000e-02 6.20989031740000e-02
1.11000000000000e+00 3.32986798340000e-02 4.93925245230000e-02
1.12000000000000e+00 2.88474253610000e-02 3.85113122920000e-02
1.13000000000000e+00 2.46146206570000e-02 2.93400071250000e-02
1.14000000000000e+00 2.06752194130000e-02 2.17495115920000e-02
1.15000000000000e+00 1.70833650560000e-02 1.55981132290000e-02
1.16000000000000e+00 1.38735288140000e-02 1.07335798340000e-02
1.17000000000000e+00 1.10580919930000e-02 6.99859761300000e-03
1.18000000000000e+00 8.63722971720000e-03 4.23449679450000e-03
1.19000000000000e+00 6.59929737180000e-03 2.28198661710000e-03
1.20000000000000e+00 4.92006587730000e-03 9.88368655760000e-04
1.21000000000000e+00 3.56899599760000e-03 2.11299210250000e-04
1.22000000000000e+00 2.51130593880000e-03 -1.82866437020000e-04
1.23000000000000e+00 1.70860133430000e-03 -3.14476365580000e-04
1.24000000000000e+00 1.12273056050000e-03 -2.80643649070000e-04
1.25000000000000e+00 7.16115714070000e-04 -1.64858660710000e-04
1.26000000000000e+00 4.52250144420000e-04 -3.36707086720000e-05
1.27000000000000e+00 2.98690250960000e-04 7.72424121910000e-05
1.28000000000000e+00 2.23763480420000e-04 1.45715370690000e-04
1.29000000000000e+00 2.08084428380000e-04 1.81196916350000e-04
1.30000000000000e+00 1.52953747860000e-04 1.39145278600000e-04
1.31000000000000e+00 2.33987050550000e-05 2.19672526870000e-05
1.32000000000000e+00 -1.26238577980000e-05 -1.12903540300000e-05
1.33000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.34000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.35000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.36000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.37000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.38000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.39000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.40000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.41000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.42000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.43000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.44000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.45000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.46000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.47000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.48000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.49000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.50000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.51000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.52000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.53000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.54000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.55000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.56000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.57000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.58000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.59000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
1.60000000000000e+00 0.00000000000000e+00 0.00000000000000e+00
